1	2BIO3	366
3	2BIO2	3960
4	PSI*	1794
9	PC	1975
14	PC*	571
15	PC	1174
20	MP*1	935
21	PC	1070
27	2BIO2	892
28	2BIO1	1321
32	PSI*	621
34	MP	629
38	MP	1473
39	2BIO3	1976
41	MP	2267
45	PC	1386
46	2BIO2	292
47	PSI*	527
48	PC	931
54	MP	1357
55	2BIO3	2303
58	PC*	1689
61	2BIO2	1571
62	2BIO1	9
63	2BIO3	1766
65	2BIO1	1552
70	2BIO3	1170
71	PC	887
72	2BIO1	793
79	PC	619
80	PC	1386
85	PC*	1009
87	PC	252
89	PC	2391
90	PSI*	1766
92	PC	1266
101	2BIO3	1657
103	MP*1	43
106	2BIO3	1121
111	2BIO1	2669
115	PC*	1235
116	PC*	935
117	2BIO3	1826
119	2BIO3	2079
120	PC	1980
122	2BIO3	4103
124	2BIO1	1336
125	PSI*	510
131	PC*	596
132	2BIO3	1919
134	PC	571
145	2BIO1	650
147	2BIO2	2912
149	MP*1	131
151	MP	1182
156	MP	687
159	MP	797
160	2BIO2	1324
165	2BIO2	33
170	2BIO3	1667
171	2BIO2	326
172	PC	786
173	2BIO2	375
176	PC*	1664
177	2BIO1	1404
179	2BIO3	1089
181	PC*	1309
184	2BIO2	1906
185	PC*	1401
190	PC*	1103
194	PC	910
196	2BIO3	1607
199	2BIO3	2270
200	PC	1786
201	MP	1048
202	2BIO3	1873
205	2BIO3	1471
209	PC*	299
210	PC	1258
211	PC	2554
213	PC*	784
214	PC*	586
219	MP	551
220	MP	491
222	PC*	230
226	2BIO2	1501
227	PSI*	640
232	PC	2761
236	MP*1	376
239	2BIO2	304
240	2BIO3	1945
241	PSI*	865
242	PC	2616
243	MP	1012
245	MP	673
246	PSI*	296
248	PSI*	352
252	2BIO3	2161
253	PC	919
254	PC*	1662
255	2BIO3	4136
256	PC*	631
257	2BIO2	326
258	PC*	3128
265	2BIO3	1988
267	PC*	1698
268	2BIO2	867
269	PC*	2243
272	2BIO3	1513
274	MP*1	1783
275	2BIO3	3777
276	PC*	2048
277	MP*1	215
279	MP*1	1949
280	MP*1	904
285	PC	2321
290	MP*1	423
295	2BIO2	597
306	PSI*	113
311	PC	805
312	2BIO2	2911
322	PC	1469
325	PSI*	661
327	2BIO2	1796
333	PSI*	1312
335	PC*	1418
339	2BIO2	2629
343	PC*	550
346	2BIO3	1346
353	2BIO2	1804
356	PC*	1149
364	2BIO3	2421
366	MP*1	1190
372	2BIO2	935
374	2BIO3	942
376	MP*1	1346
382	PC*	1295
387	MP*1	499
388	PC	877
390	PC*	1262
391	MP*1	592
400	2BIO1	910
407	2BIO2	1079
413	PC	988
420	MP	730
424	PSI*	744
425	2BIO3	1563
428	2BIO1	531
429	2BIO2	1866
434	PSI*	7
435	MP*1	488
438	MP*1	317
440	PSI*	578
441	2BIO2	1664
443	2BIO1	501
445	MP*1	65
446	PSI*	114
447	2BIO3	1522
448	PC	700
450	PC	338
452	PSI*	673
453	PC	834
454	MP	381
464	2BIO2	826
465	2BIO1	1009
466	MP*1	157
468	PC	532
471	2BIO1	969
475	2BIO1	301
477	2BIO2	570
480	PC	648
484	MP*1	1395
486	2BIO1	145
487	2BIO1	1428
488	PC	1330
489	2BIO1	631
491	PSI*	363
492	PC	2300
494	2BIO3	1071
496	PC	1363
497	MP*1	837
498	2BIO1	217
502	MP	422
504	2BIO2	1099
510	MP*1	820
513	MP*1	4231
520	MP	137
525	MP	248
527	2BIO1	196
531	2BIO1	491
533	PC*	472
544	2BIO2	1397
545	2BIO3	1731
548	PC*	231
564	MP	896
576	MP	134
577	MP	907
582	MP	541
587	2BIO3	147
601	PC	968
603	PC*	3197
605	MP	1469
612	2BIO2	3720
615	PSI*	553
621	PC*	678
622	PSI*	279
624	PSI*	265
626	2BIO3	1087
627	2BIO1	303
634	MP	3374
637	2BIO1	528
638	MP*1	1855
640	MP	496
642	MP	1066
647	PSI*	175
649	2BIO3	1752
650	2BIO1	328
653	2BIO3	1943
655	MP*1	3573
658	MP	1828
674	2BIO1	1092
677	2BIO1	255
681	2BIO1	27
687	MP	837
691	MP	1474
694	MP	570
702	MP*1	95
706	PC	1764
720	2BIO2	610
725	2BIO1	802
743	PC	686
744	PC*	307
751	PC	212
753	MP	315
763	2BIO2	746
765	PC*	2047
769	PSI*	756
771	PC	123
777	MP*1	674
778	2BIO3	1058
779	2BIO3	1288
784	PC*	270
786	PC*	517
790	PSI*	59
791	PC	141
797	PSI*	754
798	PSI*	130
809	2BIO1	643
826	PC	3515
836	PC*	578
841	MP*1	281
843	PC*	264
845	PC	811
854	2BIO1	1080
857	2BIO1	297
859	2BIO1	619
866	MP	2719
867	PC*	729
869	MP	2037
871	2BIO3	1690
874	MP	692
882	PC	170
883	2BIO3	825
